name,num_workers,workers_distribution,policy_name,num_items,data_bal,items_diff,num_states,cost,cost_std,recall,recall_std,precision,precision_std,loss,loss_std,f1,f1_std,fbeta,fbeta_std,estimate_after,avg_error_rate,wce,wce_std,fnc,fpc,ucc,uc,uc_std
unclassify-fnc-1-fpc-1-uc0.5,100,"Normal(1,0.2)",unclassify-fnc-1-fpc-1-u0.5.policy,1000,0.5,0.5,23,500.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,False,1,0.0,0.0,-1,-1,0.5,1000.0,0.0
unclassify-fnc-1-fpc-5-uc0.5,100,"Normal(1,0.2)",unclassify-fnc-1-fpc-5-u0.5.policy,1000,0.5,0.5,23,500.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,False,1,0.0,0.0,-1,-5,0.5,1000.0,0.0
unclassify-fnc-1-fpc-10-uc0.5,100,"Normal(1,0.2)",unclassify-fnc-1-fpc-10-u0.5.policy,1000,0.5,0.5,23,500.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,False,1,0.0,0.0,-1,-10,0.5,1000.0,0.0
unclassify-fnc-1-fpc-500-uc0.5,100,"Normal(1,0.2)",unclassify-fnc-1-fpc-500-u0.5.policy,1000,0.5,0.5,23,500.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,False,1,0.0,0.0,-1,-500,0.5,1000.0,0.0
unclassify-fnc-5-fpc-1-uc0.5,100,"Normal(1,0.2)",unclassify-fnc-5-fpc-1-u0.5.policy,1000,0.5,0.5,23,500.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,False,1,0.0,0.0,-5,-1,0.5,1000.0,0.0
unclassify-fnc-5-fpc-5-uc2.5,100,"Normal(1,0.2)",unclassify-fnc-5-fpc-5-u2.5.policy,1000,0.5,0.5,23,1.0,0.0,0.761,0.011,0.759,0.016,0.717,0.031,0.76,0.012,0.761,0.011,False,1,1.201,0.064,-5,-5,2.5,0.0,0.0
unclassify-fnc-5-fpc-10-uc2.5,100,"Normal(1,0.2)",unclassify-fnc-5-fpc-10-u2.5.policy,1000,0.5,0.5,23,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,False,1,2.5,0.0,-5,-10,2.5,0.0,0.0
unclassify-fnc-5-fpc-500-uc2.5,100,"Normal(1,0.2)",unclassify-fnc-5-fpc-500-u2.5.policy,1000,0.5,0.5,23,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,False,1,2.5,0.0,-5,-500,2.5,0.0,0.0
unclassify-fnc-10-fpc-1-uc0.5,100,"Normal(1,0.2)",unclassify-fnc-10-fpc-1-u0.5.policy,1000,0.5,0.5,23,500.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,False,1,0.0,0.0,-10,-1,0.5,1000.0,0.0
unclassify-fnc-10-fpc-5-uc2.5,100,"Normal(1,0.2)",unclassify-fnc-10-fpc-5-u2.5.policy,1000,0.5,0.5,23,0.0,0.0,1.0,0.0,0.5,0.0,0.5,0.0,0.667,0.0,0.99,0.0,False,1,2.5,0.0,-10,-5,2.5,0.0,0.0
unclassify-fnc-10-fpc-10-uc5.0,100,"Normal(1,0.2)",unclassify-fnc-10-fpc-10-u5.0.policy,1000,0.5,0.5,23,1.0,0.0,0.762,0.021,0.746,0.009,1.319,0.105,0.754,0.013,0.762,0.021,False,1,2.487,0.105,-10,-10,5.0,0.0,0.0
unclassify-fnc-10-fpc-500-uc5.0,100,"Normal(1,0.2)",unclassify-fnc-10-fpc-500-u5.0.policy,1000,0.5,0.5,23,2511.5,59.768,0.757,0.02,1.0,0.0,1.216,0.102,0.861,0.013,0.759,0.02,False,1,1.216,0.102,-10,-500,5.0,502.1,11.954
unclassify-fnc-500-fpc-1-uc0.5,100,"Normal(1,0.2)",unclassify-fnc-500-fpc-1-u0.5.policy,1000,0.5,0.5,23,500.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,False,1,0.0,0.0,-500,-1,0.5,1000.0,0.0
unclassify-fnc-500-fpc-5-uc2.5,100,"Normal(1,0.2)",unclassify-fnc-500-fpc-5-u2.5.policy,1000,0.5,0.5,23,0.0,0.0,1.0,0.0,0.5,0.0,0.5,0.0,0.667,0.0,1.0,0.0,False,1,2.5,0.0,-500,-5,2.5,0.0,0.0
unclassify-fnc-500-fpc-10-uc5.0,100,"Normal(1,0.2)",unclassify-fnc-500-fpc-10-u5.0.policy,1000,0.5,0.5,23,2506.5,72.507,1.0,0.0,0.803,0.007,0.123,0.006,0.891,0.005,1.0,0.0,False,1,1.227,0.058,-500,-10,5.0,501.1,14.501
unclassify-fnc-500-fpc-500-uc250.0,100,"Normal(1,0.2)",unclassify-fnc-500-fpc-500-u250.0.policy,1000,0.5,0.5,23,5.962,0.078,0.939,0.01,0.945,0.014,15.377,2.432,0.942,0.01,0.939,0.01,False,1,29.0,4.955,-500,-500,250.0,0.0,0.0
unclassify-fnc-1-fpc-1-uc0.5,100,"Normal(1,0.2)",unclassify-fnc-1-fpc-1-u0.5.policy,1000,0.5,0.5,23,500.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,True,1,0.0,0.0,-1,-1,0.5,1000.0,0.0
unclassify-fnc-1-fpc-5-uc0.5,100,"Normal(1,0.2)",unclassify-fnc-1-fpc-5-u0.5.policy,1000,0.5,0.5,23,500.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,True,1,0.0,0.0,-1,-5,0.5,1000.0,0.0
unclassify-fnc-1-fpc-10-uc0.5,100,"Normal(1,0.2)",unclassify-fnc-1-fpc-10-u0.5.policy,1000,0.5,0.5,23,500.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,True,1,0.0,0.0,-1,-10,0.5,1000.0,0.0
unclassify-fnc-1-fpc-500-uc0.5,100,"Normal(1,0.2)",unclassify-fnc-1-fpc-500-u0.5.policy,1000,0.5,0.5,23,500.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,True,1,0.0,0.0,-1,-500,0.5,1000.0,0.0
unclassify-fnc-5-fpc-1-uc0.5,100,"Normal(1,0.2)",unclassify-fnc-5-fpc-1-u0.5.policy,1000,0.5,0.5,23,500.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,True,1,0.0,0.0,-5,-1,0.5,1000.0,0.0
unclassify-fnc-5-fpc-5-uc2.5,100,"Normal(1,0.2)",unclassify-fnc-5-fpc-5-u2.5.policy,1000,0.5,0.5,23,1.0,0.0,0.761,0.02,0.747,0.013,0.727,0.052,0.754,0.014,0.76,0.019,True,1,1.242,0.067,-5,-5,2.5,0.0,0.0
unclassify-fnc-5-fpc-10-uc2.5,100,"Normal(1,0.2)",unclassify-fnc-5-fpc-10-u2.5.policy,1000,0.5,0.5,23,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,True,1,2.5,0.0,-5,-10,2.5,0.0,0.0
unclassify-fnc-5-fpc-500-uc2.5,100,"Normal(1,0.2)",unclassify-fnc-5-fpc-500-u2.5.policy,1000,0.5,0.5,23,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,True,1,2.5,0.0,-5,-500,2.5,0.0,0.0
unclassify-fnc-10-fpc-1-uc0.5,100,"Normal(1,0.2)",unclassify-fnc-10-fpc-1-u0.5.policy,1000,0.5,0.5,23,500.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,True,1,0.0,0.0,-10,-1,0.5,1000.0,0.0
unclassify-fnc-10-fpc-5-uc2.5,100,"Normal(1,0.2)",unclassify-fnc-10-fpc-5-u2.5.policy,1000,0.5,0.5,23,0.0,0.0,1.0,0.0,0.5,0.0,0.5,0.0,0.667,0.0,0.99,0.0,True,1,2.5,0.0,-10,-5,2.5,0.0,0.0
unclassify-fnc-10-fpc-10-uc5.0,100,"Normal(1,0.2)",unclassify-fnc-10-fpc-10-u5.0.policy,1000,0.5,0.5,23,1.0,0.0,0.745,0.017,0.744,0.008,1.404,0.081,0.744,0.009,0.745,0.017,True,1,2.56,0.078,-10,-10,5.0,0.0,0.0
unclassify-fnc-10-fpc-500-uc5.0,100,"Normal(1,0.2)",unclassify-fnc-10-fpc-500-u5.0.policy,1000,0.5,0.5,23,2499.5,89.723,0.753,0.024,1.0,0.0,1.235,0.122,0.859,0.016,0.755,0.024,True,1,1.235,0.122,-10,-500,5.0,499.7,17.945
unclassify-fnc-500-fpc-1-uc0.5,100,"Normal(1,0.2)",unclassify-fnc-500-fpc-1-u0.5.policy,1000,0.5,0.5,23,500.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,True,1,0.0,0.0,-500,-1,0.5,1000.0,0.0
unclassify-fnc-500-fpc-5-uc2.5,100,"Normal(1,0.2)",unclassify-fnc-500-fpc-5-u2.5.policy,1000,0.5,0.5,23,0.0,0.0,1.0,0.0,0.5,0.0,0.5,0.0,0.667,0.0,1.0,0.0,True,1,2.5,0.0,-500,-5,2.5,0.0,0.0
unclassify-fnc-500-fpc-10-uc5.0,100,"Normal(1,0.2)",unclassify-fnc-500-fpc-10-u5.0.policy,1000,0.5,0.5,23,2484.0,58.788,1.0,0.0,0.801,0.012,0.125,0.009,0.889,0.007,1.0,0.0,True,1,1.246,0.091,-500,-10,5.0,496.6,11.758
unclassify-fnc-500-fpc-500-uc250.0,100,"Normal(1,0.2)",unclassify-fnc-500-fpc-500-u250.0.policy,1000,0.5,0.5,23,7.907,0.065,0.966,0.01,0.966,0.009,8.417,2.489,0.966,0.008,0.966,0.01,True,1,17.0,3.834,-500,-500,250.0,0.0,0.0
